awc_name,lat,lon,awc_code,awc_alpha_code,dist_code
Ganiger Tot Gurlapur (Arbhavi),16.359936,74.95849,29555011104,A,555
Kambli Plot Gurlapur (Arbhavi),16.372242,74.95303,29555011105,A,555
Laxmi Nagar Mudalagi (Arbhavi),16.338144,74.96137,29555011106,A,555
S C Oni Mudalagi (Arbhavi),16.337364,74.97183,29555011107,A,555
Javali Plot Mudalagi (Arbhavi),16.334934,74.96512,29555011108,A,555
Vidya Nagar Mudalgi (Arbhavi),16.33496,74.96428,29555011109,A,555
Jatagar Plot Mudalagi (Arbhavi),16.335,74.96421,29555011110,A,555
Ganesh Nagar Mudalagi (Arbhavi),16.346733,74.94116,29555011111,A,555
Jatagar Plot Mudalagi (Arbhavi),16.33567,74.96595,29555011112,A,555
Shivabhodarang Math Mudalagi (Arbhavi),16.33693,74.97067,29555011113,A,555
Vijay Nagar Mudalagi (Arbhavi),16.335545,74.95429,29555011114,A,555
Near Bus Stop Mudalagi (Arbhavi),16.338541,74.96834,29555011115,A,555
Ganga Nagar Mudalagi (Arbhavi),16.331366,74.972206,29555011116,A,555
Hallur Naka Mudalagi (Arbhavi),16.34047,74.97041,29555011117,A,555
S C Keri Mudalagi (Arbhavi),16.337156,74.970985,29555011118,A,555
Nagling Nagar Mudalagi (Arbhavi),16.343145,74.96709,29555011119,A,555
Laxmi Nagar Mudalagi (Arbhavi),16.340141,74.96618,29555011120,A,555
Shabannavar Tot Mudalagi (Arbhavi),16.356346,74.97162,29555011121,A,555
Hanuman Temapale Mudalagi (Arbhavi),16.338932,74.96875,29555011122,A,555
Near K E B Mudalagi (Arbhavi),16.332737,74.95014,29555011123,A,555
Talvar Tot Mudalagi (Arbhavi),16.3243,74.97675,29555011124,A,555
Mali Tot Gurlapur (Arbhavi),16.360022,74.9327,29555011125,A,555
S C Keri Kamaldinni (Arbhavi),16.30441,74.99878,29555011126,A,555
Near Kannada School Kamaladinni (Arbhavi),16.304895,74.999596,29555011127,A,555
Kerimaddi Tot Kamaldinni (Arbhavi),16.30695,74.989296,29555011128,A,555
Near Kannada School Rangapur (Arbhavi),16.316055,74.99553,29555011129,A,555
Hanamapur (Arbhavi),16.261524,74.86311,29555011201,A,555
Ganesh Nagar Kalloli (Arbhavi),16.268616,74.870964,29555011202,A,555
Goudar Oni Kalloli (Arbhavi),16.265245,74.86905,29555011203,A,555
Sidi Oni Kalloli (Arbhavi),16.26728,74.87306,29555011204,A,555
S C Area Kalloli (Arbhavi),16.263948,74.87125,29555011205,A,555
Anennavar Tot Kalloli (Arbhavi),16.243965,74.861565,29555011206,A,555
Dasar Oni Kalloli (Arbhavi),16.266613,74.86932,29555011207,A,555
Ramalingeshwar Gudi Kalloli (Arbhavi),16.265287,74.86903,29555011208,A,555
Dyamavvan Gudi Kalloli (Arbhavi),16.264282,74.869675,29555011209,A,555
Kurabet Tot Kalloli (Arbhavi),16.24395,74.86162,29555011210,A,555
Musalim Oni Kalloli (Arbhavi),16.266247,74.87093,29555011211,A,555
K V G Bank Hattir Kalloli (Arbhavi),16.265875,74.86821,29555011212,A,555
Near Panchayat Kalloli (Arbhavi),16.265585,74.86806,29555011213,A,555
Birappan Gudi Kalloli (Arbhavi),16.263594,74.86911,29555011214,A,555
Basavangar Hanamapur (Arbhavi),16.251972,74.84291,29555011215,A,555
Sadlir Tot Kalloli (Arbhavi),16.252989,74.881996,29555011216,A,555
Bhram Nagar Tot Naganur (Arbhavi),16.29562,74.90611,29555011217,A,555
Janta Plot Naganur (Arbhavi),16.308578,74.914276,29555011218,A,555
Uppin Mali Tot Naganur (Arbhavi),16.317858,74.91129,29555011219,A,555
Aranya Siddeshwar Tot Naganur (Arbhavi),16.321655,74.89063,29555011220,A,555
Near Gram Panchayt Naganur (Arbhavi),16.309774,74.91681,29555011221,A,555
S C Area Naganur (Arbhavi),16.308578,74.91693,29555011222,A,555
Gadadi Tot Naganur (Arbhavi),16.321903,74.921455,29555011223,A,555
Laxmi Nagar Tot Naganur (Arbhavi),16.30645,74.92201,29555011224,A,555
Maradisiddeshwar Tot Naganur (Arbhavi),16.307056,74.89487,29555011225,A,555
Hanam Nagar Naganur (Arbhavi),16.337723,74.92654,29555011226,A,555
Koravanji Tot Naganur (Arbhavi),16.304447,74.92833,29555011227,A,555
Pashu Chikistalay Hattir Naganur (Arbhavi),16.310757,74.915146,29555011228,A,555
Laxmi Nagar Mudalagi Cross Naganur (Arbhavi),16.344572,74.93708,29555011229,A,555
Tigadi Tot Naganur (Arbhavi),16.301474,74.89948,29555011230,A,555
Pashu Chikistalay Hattir Naganur (Arbhavi),16.310904,74.91504,29555011231,A,555
Harija Keri Dupdal (Arbhavi),16.207201,74.75602,29555011301,A,555
Janta Plot Dupdal (Arbhavi),16.210775,74.76166,29555011302,A,555
Basava Nagar Dupdal (Arbhavi),16.235271,74.76,29555011303,A,555
Laxmi Tempale Dupdal (Arbhavi),16.208195,74.75566,29555011304,A,555
Vaddar Oni Dupdal (Arbhavi),16.2078,74.75852,29555011305,A,555
Navil Mal Tot Dupdal (Arbhavi),16.193558,74.77827,29555011306,A,555
Bhovi Tot Dupdal (Arbhavi),16.239904,74.748405,29555011307,A,555
Niravari Tot Dupdal (Arbhavi),16.214714,74.76153,29555011308,A,555
J J Co Hospital Ghataprabha (Arbhavi),16.240917,74.75401,29555011309,A,555
Janta Plot Ghatprabha (Arbhavi),16.23964,74.765366,29555011310,A,555
Gajanan Plot Ghataprabha (Arbhavi),16.240845,74.764946,29555011311,A,555
Gajanan Nagar Ghataprbha (Arbhavi),16.245758,74.759926,29555011312,A,555
Janta Plot Ghatprabha (Arbhavi),16.240482,74.76701,29555011313,A,555
Gondali Galli Ghataprabha (Arbhavi),16.241121,74.760895,29555011314,A,555
Danagal Pete Ghataprbha (Arbhavi),16.246487,74.75922,29555011315,A,555
Ambedakar Nagar Ghataprbha (Arbhavi),16.24772,74.75989,29555011316,A,555
Desai Wade Shinadikurabet (Arbhavi),16.214108,74.790504,29555011317,A,555
Melgade Oni Shindikurabet (Arbhavi),16.213358,74.788216,29555011318,A,555
Omkareshwar Tot Shindikurabet (Arbhavi),16.212496,74.77848,29555011319,A,555
Parameshwar Maradi Shindikurabet (Arbhavi),16.23256,74.78361,29555011320,A,555
Pede Oni Shindikurabet (Arbhavi),16.212055,74.791504,29555011321,A,555
Harijan Keri Shindikurabet (Arbhavi),16.209345,74.790825,29555011322,A,555
Vittal Mandir Shindikurabet (Arbhavi),16.21455,74.79251,29555011323,A,555
Paniband Galli Shindikurabet (Arbhavi),16.20959,74.790276,29555011324,A,555
Aain Bhavi Hattir Shindikurabet (Arbhavi),16.212559,74.79227,29555011325,A,555
Basava Nagar Shindikurbet (Arbhavi),16.223713,74.78368,29555011326,A,555
Near Panchayat Shindikurbet (Arbhavi),16.211353,74.789734,29555011327,A,555
Bagwan Galli Shindikurbet (Arbhavi),16.212255,74.79095,29555011328,A,555
Laxmi Nagar Shindikurabet (Arbhavi),16.217646,74.79474,29555011329,A,555
Nidasoshi Tot Ghataprbha (Arbhavi),16.262995,74.74448,29555011330,A,555
Near Kannada School Bagarnal (Arbhavi),16.139011,75.01723,29555011401,A,555
Totagi Tot Bagranal (Arbhavi),16.149197,75.033226,29555011402,A,555
Iliger Tot Bagarnal (Arbhavi),16.135092,75.03703,29555011403,A,555
S C Oni Bilakundi (Arbhavi),16.193153,75.00812,29555011404,A,555
Nayabele Angadi Hattir Bilakundi (Arbhavi),16.19206,75.00753,29555011405,A,555
Iliger Tot Bilakundi (Arbhavi),16.19636,74.98779,29555011406,A,555
Near Kannada School Gosabal (Arbhavi),16.166073,75.01221,29555011407,A,555
Vaddar Galli Gosabal (Arbhavi),16.168228,75.0138,29555011408,A,555
Near Kannada School Hadaginal (Arbhavi),16.199938,74.91641,29555011409,A,555
Near Kannda School Hadaginal (Arbhavi),16.199938,74.91642,29555011410,A,555
Ningannavar Tot Hadaginal (Arbhavi),16.1944,74.92482,29555011411,A,555
Nyayabele Angadi Hattir Hadaginal (Arbhavi),16.199402,74.91672,29555011412,A,555
Near Kannada School Ningapur (Arbhavi),16.167027,74.98369,29555011413,A,555
Near Kannada School Udagatti (Arbhavi),16.215511,74.929085,29555011414,A,555
Laxmi Temaple Talkatnal (Arbhavi),16.228775,74.95302,29555011415,A,555
Hale Pashu Kendra Talkatnal (Arbhavi),16.226822,74.95363,29555011416,A,555
Jarihal Tot Talkatnal (Arbhavi),16.191507,74.9583,29555011417,A,555
Uddamma Tempale Udgatti (Arbhavi),16.218767,74.929085,29555011418,A,555
Bagannavar Tot Udagatti (Arbhavi),16.203995,74.947685,29555011419,A,555
